year,title,category,nominee,artist,track_id,artists,album_name,track_name,popularity,explicit,danceability,energy,loudness,acousticness,valence,track_genre,duration_min
2013,56th Annual GRAMMY Awards  (2013),Best Metal Performance,god is dead?,Black Sabbath,3IKJNHnVZ2bXGjAFBJiUYo,Black Sabbath,13,god is dead?,58,False,37.9,72.6,-4.935,0.02,17.8,hard-rock,8.87
2013,56th Annual GRAMMY Awards  (2013),Best Country Solo Performance,wagon wheel,Darius Rucker,3xdjjKMcMOFgo1eQrfbogM,Darius Rucker,True Believers,wagon wheel,78,False,53.7,66.0,-7.174,45.5,57.4,country,4.97
2012,55th Annual GRAMMY Awards  (2012),Best Rock Performance,lonely boy,The Black Keys,5G1sTBGbZT5o4PNRc75RKI,The Black Keys,El Camino,lonely boy,73,False,35.6,87.2,-7.837,0.42,60.7,blues,3.23
2011,54th Annual GRAMMY Awards  (2011),Record Of The Year,rolling in the deep,Adele,4OSBTYWVwsQhGLF9NHvIbR,Adele,21,rolling in the deep,81,True,73.0,76.9,-5.114,13.8,50.7,british,3.8
2011,54th Annual GRAMMY Awards  (2011),Best Pop Solo Performance,someone like you,Adele,3bNv3VuUOKgrf5hu3YcuRo,Adele,21,someone like you,81,False,55.6,31.9,-8.251,89.3,29.4,british,4.75
2011,54th Annual GRAMMY Awards  (2011),Best Rock Performance,walk,Foo Fighters,76Je5Wklky23mVoxiRszcN,Foo Fighters,Wasting Light,walk,70,False,23.4,86.5,-5.131,0.0,19.4,grunge,4.27
2010,53rd Annual GRAMMY Awards  (2010),Best Female Pop Vocal Performance,bad romance,Lady Gaga,7oBxxv6C5ttINeFHzOVwS4,Lady Gaga,Halloween 2022,bad romance,0,True,69.5,92.1,-3.752,0.31,71.4,dance,4.91
2010,53rd Annual GRAMMY Awards  (2010),Best Male Pop Vocal Performance,just the way you are,Bruno Mars,7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Doo-Wops & Hooligans,just the way you are,82,False,63.5,84.1,-5.379,1.34,42.4,dance,3.68
2010,53rd Annual GRAMMY Awards  (2010),Best Rock Performance By A Duo Or Group With Vocals,tighten up,The Black Keys,3C542UknrX76XSRXTyQ1Qg,The Black Keys,Brothers (Deluxe Remastered Anniversary Edition),tighten up,61,False,51.7,71.1,-5.84,0.08,58.2,blues,3.52
2010,53rd Annual GRAMMY Awards  (2010),Best Rap Solo Performance,not afraid,Eminem,7Ie9W94M7OjPoZVV216Xus,Eminem,Recovery,not afraid,81,True,85.5,95.4,-1.19,52.9,66.8,hip-hop,4.14
2009,52nd Annual GRAMMY Awards  (2009),Best Hard Rock Performance,war machine,AC/DC,5YnNWHKCJaJKwbagXDb5Uf,AC/DC,Black Ice,war machine,61,False,51.8,71.8,-4.355,0.0,53.1,hard-rock,3.16
2008,51st Annual GRAMMY Awards  (2008),Best Female Pop Vocal Performance,chasing pavements,Adele,0Z5ok0QLLttAKsujOZYOXf,Adele,19,chasing pavements,74,False,61.6,47.0,-6.092,29.1,32.5,british,3.51
2008,51st Annual GRAMMY Awards  (2008),Best Male Pop Vocal Performance,say,John Mayer,6wZI4mdT8JwXgkGURnBQiq,John Mayer,Say,say,61,False,48.5,72.3,-6.565,54.1,54.1,singer-songwriter,3.84
2008,51st Annual GRAMMY Awards  (2008),Best Solo Rock Vocal Performance,gravity,John Mayer,3SktMqZmo3M9zbB7oKMIF7,John Mayer,Continuum,gravity,72,False,75.3,32.6,-9.883,73.1,23.7,singer-songwriter,4.1
2007,50th Annual GRAMMY Awards  (2007),Record Of The Year,rehab,Amy Winehouse,3N4DI1vuTSX1tz7fa2NQZw,Amy Winehouse,Back To Black (Deluxe Edition),rehab,73,False,40.7,55.8,-13.609,5.41,77.7,british,3.58
2007,50th Annual GRAMMY Awards  (2007),Best Female Pop Vocal Performance,rehab,Amy Winehouse,3N4DI1vuTSX1tz7fa2NQZw,Amy Winehouse,Back To Black (Deluxe Edition),rehab,73,False,40.7,55.8,-13.609,5.41,77.7,british,3.58
2007,50th Annual GRAMMY Awards  (2007),Best Rock Performance By A Duo Or Group With Vocals,icky thump,The White Stripes,2LMq1O0NiqGhPOlXo3McYQ,The White Stripes,Icky Thump,icky thump,67,False,41.7,63.0,-7.24,2.09,34.1,blues,4.24
2007,50th Annual GRAMMY Awards  (2007),Best Hard Rock Performance,the pretender,Foo Fighters,7x8dCjCr0x6x2lXKujYD34,Foo Fighters,"Echoes, Silence, Patience & Grace",the pretender,79,False,43.3,95.9,-4.04,0.09,36.5,alt-rock,4.49
2007,50th Annual GRAMMY Awards  (2007),Best Female R&B Vocal Performance,no one,Alicia Keys,6IwKcFdiRQZOWeYNhUiWIv,Alicia Keys,As I Am (Expanded Edition),no one,78,False,64.4,54.9,-5.415,2.09,16.7,soul,4.23
2007,50th Annual GRAMMY Awards  (2007),Best Female Country Vocal Performance,before he cheats,Carrie Underwood,0ZUo4YjG4saFnEJhdWp9Bt,Carrie Underwood,Some Hearts,before he cheats,78,False,51.9,74.9,-3.318,27.1,29.0,country,3.33
2006,49th Annual GRAMMY Awards  (2006),Best Male Pop Vocal Performance,waiting on the world to change,John Mayer,5imShWWzwqfAJ9gXFpGAQh,John Mayer,Continuum,waiting on the world to change,73,False,57.8,75.6,-5.82,15.7,66.3,singer-songwriter,3.35
2006,49th Annual GRAMMY Awards  (2006),Best Rock Performance By A Duo Or Group With Vocal,dani california,Red Hot Chili Peppers,10Nmj3JCNoMeBQ87uw5j8k,Red Hot Chili Peppers,Stadium Arcadium,dani california,78,False,55.6,91.3,-2.36,1.93,73.0,alt-rock,4.7
2006,49th Annual GRAMMY Awards  (2006),Best Hard Rock Performance,woman,Wolfmother,3CkjLJYnnyOtGk4Jx4iYS4,Wolfmother,Wolfmother,woman,65,False,21.9,95.2,-3.621,0.01,17.2,garage,2.94
2006,49th Annual GRAMMY Awards  (2006),Best Urban/Alternative Performance,crazy,Gnarls Barkley,1vxw6aYJls2oq3gW0DujAo,Gnarls Barkley,St. Elsewhere,crazy,76,False,85.5,58.7,-4.589,5.05,64.0,soul,2.96
2005,48th Annual GRAMMY Awards  (2005),Record Of The Year,boulevard of broken dreams,Green Day,5GorCbAP4aL0EJ16frG2hd,Green Day,Greatest Hits: God's Favorite Band,boulevard of broken dreams,77,True,49.6,68.2,-4.095,0.55,47.4,punk,4.37
2005,48th Annual GRAMMY Awards  (2005),Best Hard Rock Performance,b.y.o.b.,System Of A Down,0EYOdF5FCkgOJJla8DI2Md,System Of A Down,Mezmerize,b.y.o.b.,77,True,53.8,98.1,-2.688,0.66,71.1,alternative,4.26
2005,48th Annual GRAMMY Awards  (2005),Best Metal Performance,before i forget,Slipknot,6wqJeItl3Vc3az4ZicSQAB,Slipknot,Vol. 3: The Subliminal Verses,before i forget,77,False,29.1,97.4,-2.997,1.77,34.8,alternative,4.64
2004,47th Annual GRAMMY Awards  (2004),Best Female Pop Vocal Performance,sunrise,Norah Jones,7zkLpY72g6lKQbiHDqri1S,Norah Jones,Feels Like Home,sunrise,73,False,52.6,29.9,-13.797,94.1,67.9,j-pop,3.34
2004,47th Annual GRAMMY Awards  (2004),Best Male Pop Vocal Performance,daughters,John Mayer,5FPnjikbwlDMULCCCa6ZCJ,John Mayer,Heavier Things,daughters,67,False,67.4,41.3,-7.816,83.6,50.3,singer-songwriter,3.97
2004,47th Annual GRAMMY Awards  (2004),Best Hard Rock Performance,slither,Velvet Revolver,1ugRmaf5TDDf1fO3hFSIs1,Velvet Revolver,Contraband,slither,53,False,47.3,97.3,-3.831,0.02,29.1,grunge,4.14
2004,47th Annual GRAMMY Awards  (2004),Best Female R&B Vocal Performance,if i ain't got you,Alicia Keys,3XVBdLihbNbxUwZosxcGuJ,Alicia Keys,The Diary Of Alicia Keys,if i ain't got you,80,False,60.9,44.4,-9.129,60.3,16.6,soul,3.81
2003,46th Annual GRAMMY Awards  (2003),Best Metal Performance,st. anger,Metallica,5JAnXx5BBES4FEf4d4t4CC,Metallica,St. Anger,st. anger,62,True,39.6,94.7,-2.652,0.12,44.3,hard-rock,7.35
2003,46th Annual GRAMMY Awards  (2003),Best Country Instrumental Performance,cluck old hen,Alison Krauss & Union Station,6T3sv3t18ship4wjgtXKFs,Alison Krauss & Union Station,Every Time You Say Goodbye,cluck old hen,24,False,62.6,53.6,-12.903,65.2,96.3,bluegrass,2.58
2002,45th Annual GRAMMY Awards  (2002),Record Of The Year,don't know why,Norah Jones,1zNXF2svmdlNxfS5XeNUgr,Norah Jones,Come Away With Me (Super Deluxe Edition),don't know why,76,False,74.5,21.9,-11.216,85.1,63.5,j-pop,3.1
2002,45th Annual GRAMMY Awards  (2002),Best Female Pop Vocal Performance,don't know why,Norah Jones,1zNXF2svmdlNxfS5XeNUgr,Norah Jones,Come Away With Me (Super Deluxe Edition),don't know why,76,False,74.5,21.9,-11.216,85.1,63.5,j-pop,3.1
