year,title,category,nominee,artist,track_id,artists,album_name,track_name,popularity,explicit,danceability,energy,loudness,acousticness,valence,track_genre,duration_min
1994,37th Annual GRAMMY Awards  (1994),Best Rock Performance By A Duo Or Group With Vocal,crazy,Aerosmith,74irxdVWstNlEQjsvArITq,Aerosmith,Get A Grip,crazy,75,False,37.0,86.6,-3.879,8.68,42.7,hard-rock,5.28
1994,37th Annual GRAMMY Awards  (1994),Best Hard Rock Performance,black hole sun,Soundgarden,2EoOZnxNgtmZaD8uUmz2nD,Soundgarden,Superunknown (Deluxe Edition),black hole sun,77,False,35.0,82.8,-5.373,0.02,14.7,alt-rock,5.31
1994,37th Annual GRAMMY Awards  (1994),Best Metal Performance,spoonman,Soundgarden,1jMaB19DiVR8OihLSuYFOt,Soundgarden,Superunknown (20th Anniversary),spoonman,67,False,45.7,90.2,-5.624,0.0,83.4,grunge,4.12
1994,37th Annual GRAMMY Awards  (1994),Best Rock Instrumental Performance,marooned,Pink Floyd,6bIPHR8AJG5HAcn9oF21Ma,Pink Floyd,The Division Bell,marooned,56,False,39.6,34.1,-14.836,38.4,14.8,psych-rock,5.51
1994,37th Annual GRAMMY Awards  (1994),Best R&B Performance By A Duo Or Group With Vocal,i'll make love to you,Boyz II Men,7dfl9X38RhIvB3oSmmneq3,Boyz II Men,II,i'll make love to you,67,False,55.9,49.0,-8.06,10.3,20.2,r-n-b,3.95
1993,36th Annual GRAMMY Awards  (1993),Best Rock Performance By A Duo Or Group With Vocal,livin' on the edge,Aerosmith,4avSaixVwu8uqfSs7zgoj3,Aerosmith,Get A Grip,livin' on the edge,62,False,39.9,88.1,-4.341,0.19,27.2,hard-rock,6.35
1993,36th Annual GRAMMY Awards  (1993),Best Hard Rock Performance With Vocal,plush,Stone Temple Pilots,3jJZVeExYzVYiV6Y9Fl3DX,Stone Temple Pilots,Core,plush,66,False,42.3,95.4,-3.157,0.21,50.0,grunge,5.17
1993,36th Annual GRAMMY Awards  (1993),Best R&B Performance By A Duo Or Group With Vocal,no ordinary love,Sade,1oaaSrDJimABpOdCEbw2DJ,Sade,Love Deluxe,no ordinary love,67,False,62.9,36.4,-12.259,46.7,70.1,british,7.34
1992,35th Annual GRAMMY Awards  (1992),Record Of The Year,tears in heaven,Eric Clapton,1kgdslQYmeTR4thk9whoRw,Eric Clapton,Rush (Music from the Motion Picture Soundtrack),tears in heaven,66,False,49.8,24.2,-12.238,83.5,31.2,blues,4.53
1992,35th Annual GRAMMY Awards  (1992),"Best Pop Vocal Performance, Male",tears in heaven,Eric Clapton,1kgdslQYmeTR4thk9whoRw,Eric Clapton,Rush (Music from the Motion Picture Soundtrack),tears in heaven,66,False,49.8,24.2,-12.238,83.5,31.2,blues,4.53
1992,35th Annual GRAMMY Awards  (1992),Best Hard Rock Performance With Vocal,give it away,Red Hot Chili Peppers,0uppYCG86ajpV2hSR3dJJ0,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),give it away,73,False,66.6,93.6,-9.919,0.24,77.6,metal,4.72
1992,35th Annual GRAMMY Awards  (1992),Best Metal Performance,wish,Nine Inch Nails,0XfNjyJcb7d2ZAscVM4K7J,Nine Inch Nails,Broken,wish,56,True,51.6,98.9,-7.206,0.04,14.9,industrial,3.78
1992,35th Annual GRAMMY Awards  (1992),Best R&B Performance By A Duo Or Group With Vocal,end of the road,Boyz II Men,3l3xTXsUXeWlkPqzMs7mPD,Boyz II Men,Cooleyhighharmony (Bonus Tracks Version),end of the road,71,False,64.0,42.7,-9.29,6.64,52.9,r-n-b,5.86
1991,34th Annual GRAMMY Awards  (1991),Best Pop Performance By A Duo Or Group With Vocal,losing my religion,R.E.M.,31AOj9sFz2gM0O3hMARRBx,R.E.M.,Out Of Time (25th Anniversary Edition),losing my religion,84,False,66.6,85.5,-5.051,17.9,80.3,alt-rock,4.47
1989,32nd Annual GRAMMY Awards  (1989),Best Hard Rock Performance,cult of personality,Living Colour,5e3YOg6fIkP0wD5TyxcHOH,Living Colour,Vivid (Expanded Edition),cult of personality,68,False,50.4,91.8,-3.463,0.16,53.9,alt-rock,4.91
1989,32nd Annual GRAMMY Awards  (1989),Best Metal Performance,one,Metallica,5IX4TbIR5mMHGE4wiWwKW0,Metallica,...And Justice For All,one,73,False,43.7,69.5,-9.447,0.11,41.3,hard-rock,7.46
1988,31st Annual GRAMMY Awards  (1988),"Best Pop Vocal Performance, Female",fast car,Tracy Chapman,2M9ro2krNb7nr7HSprkEgo,Tracy Chapman,Tracy Chapman,fast car,78,False,71.1,29.2,-15.523,31.3,19.4,folk,4.95
1988,31st Annual GRAMMY Awards  (1988),"Best Rock Vocal Performance, Male",simply irresistible,Robert Palmer,1tnZipedfyuRJlxkW8o5za,Robert Palmer,80's,simply irresistible,0,False,64.6,93.4,-6.955,12.9,69.8,blues,4.24
1985,28th Annual GRAMMY Awards  (1985),"Best Rock Vocal Performance, Male",the boys of summer,Don Henley,4gvea7UlDkAvsJBPZAd4oB,Don Henley,Building The Perfect Beast,the boys of summer,77,False,51.6,54.9,-13.741,50.1,90.7,country,4.81
1984,27th Annual GRAMMY Awards  (1984),Record Of The Year,what's love got to do with it,Tina Turner,4kOfxxnW1ukZdsNbCKY9br,Tina Turner,What's Love Got to Do with It?,what's love got to do with it,71,False,85.1,40.6,-11.631,21.9,79.2,disco,3.78
1984,27th Annual GRAMMY Awards  (1984),"Best Pop Vocal Performance, Female",what's love got to do with it,Tina Turner,4kOfxxnW1ukZdsNbCKY9br,Tina Turner,What's Love Got to Do with It?,what's love got to do with it,71,False,85.1,40.6,-11.631,21.9,79.2,disco,3.78
1984,27th Annual GRAMMY Awards  (1984),"Best Rock Vocal Performance, Male",dancing in the dark,Bruce Springsteen,7FwBtcecmlpc1sLySPXeGE,Bruce Springsteen,Born In The U.S.A.,dancing in the dark,78,False,52.7,94.2,-5.64,1.15,49.5,singer-songwriter,4.02
